               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038545,           0.0096149,           0.0015706,             0.65646,             0.66462,             0.66151,             0.27927,            0.052513,             0.01001,           0.0096469,            0.006535,            0.006535,            0.006535
                  37,            0.036877,           0.0089669,           0.0019116,             0.74554,             0.77339,             0.78406,             0.38809,            0.043099,            0.010148,           0.0099665,            0.006436,            0.006436,            0.006436
                  38,            0.035191,           0.0091823,           0.0022151,             0.72641,              0.7755,             0.74991,              0.3572,            0.048679,           0.0095402,           0.0099708,            0.006337,            0.006337,            0.006337
                  39,            0.035777,           0.0085755,           0.0022166,             0.67864,             0.70084,             0.68478,             0.28754,            0.053386,           0.0093359,            0.011587,            0.006238,            0.006238,            0.006238
                  40,            0.035843,           0.0080604,           0.0020647,             0.78909,             0.73773,              0.7337,             0.33512,            0.046725,           0.0097631,            0.012354,            0.006139,            0.006139,            0.006139
                  41,            0.035084,           0.0086396,           0.0019305,             0.80349,              0.7463,             0.74883,             0.38805,             0.04205,           0.0098712,            0.010438,             0.00604,             0.00604,             0.00604
                  42,            0.035461,           0.0083277,           0.0016869,             0.70235,             0.67913,              0.6796,              0.2979,            0.052876,            0.009916,            0.010136,            0.005941,            0.005941,            0.005941
                  43,            0.034461,           0.0094455,           0.0019887,             0.64514,             0.56803,             0.58164,             0.23451,            0.060515,           0.0098685,             0.01021,            0.005842,            0.005842,            0.005842
                  44,            0.034997,           0.0089401,           0.0016835,             0.61065,             0.64079,             0.62159,             0.27835,            0.052882,           0.0098331,           0.0088964,            0.005743,            0.005743,            0.005743
                  45,            0.033912,            0.008608,           0.0012393,              0.7944,             0.71407,             0.73114,             0.31056,            0.048111,             0.01001,            0.008269,            0.005644,            0.005644,            0.005644
                  46,            0.033908,           0.0083328,           0.0019592,              0.7582,             0.65363,             0.69168,              0.2938,            0.052307,           0.0099595,           0.0090309,            0.005545,            0.005545,            0.005545
                  47,            0.034769,           0.0091028,            0.001618,             0.79904,              0.7069,             0.73777,             0.35708,            0.046848,            0.010081,           0.0093493,            0.005446,            0.005446,            0.005446
                  48,            0.031953,           0.0075724,           0.0010705,              0.7466,             0.68234,             0.69003,             0.31173,            0.052843,           0.0099439,           0.0087592,            0.005347,            0.005347,            0.005347
                  49,            0.033927,           0.0075928,          0.00086435,             0.77104,              0.6676,             0.68673,             0.31796,            0.052078,            0.010137,           0.0070756,            0.005248,            0.005248,            0.005248
                  50,             0.03264,           0.0086041,           0.0013978,             0.82767,             0.69648,             0.74029,             0.37165,            0.047383,            0.010004,           0.0075374,            0.005149,            0.005149,            0.005149
                  51,            0.031997,           0.0077409,          0.00083837,             0.82756,             0.71647,             0.75677,             0.40961,            0.045658,            0.010394,           0.0076339,             0.00505,             0.00505,             0.00505
                  52,            0.031516,            0.008403,           0.0018305,             0.80027,             0.70902,             0.74597,             0.37134,            0.050405,             0.01036,           0.0084579,            0.004951,            0.004951,            0.004951
                  53,             0.03149,            0.008155,           0.0013406,             0.79575,             0.70953,             0.73335,             0.35918,            0.051323,            0.010423,           0.0097443,            0.004852,            0.004852,            0.004852
                  54,            0.030176,           0.0076759,          0.00087427,             0.69613,             0.67334,             0.66665,             0.31814,            0.052298,            0.010674,           0.0092565,            0.004753,            0.004753,            0.004753
                  55,            0.031751,           0.0074322,          0.00080323,             0.80887,             0.70981,             0.72486,             0.33843,            0.050144,            0.010782,           0.0076958,            0.004654,            0.004654,            0.004654
                  56,            0.030435,           0.0074042,           0.0016824,              0.7663,              0.6852,             0.69404,             0.30791,            0.053731,            0.010494,            0.006877,            0.004555,            0.004555,            0.004555
                  57,            0.028772,           0.0072487,          0.00073438,             0.78653,             0.70057,             0.71471,             0.34455,            0.049943,            0.010517,           0.0071115,            0.004456,            0.004456,            0.004456
                  58,            0.030537,           0.0080738,           0.0013682,             0.83324,             0.66755,             0.71116,             0.37837,            0.047722,            0.010654,           0.0072257,            0.004357,            0.004357,            0.004357
                  59,             0.03141,           0.0076482,          0.00079185,             0.85594,             0.67207,             0.70859,             0.32563,             0.04939,            0.010752,            0.006116,            0.004258,            0.004258,            0.004258
                  60,            0.029798,           0.0075743,          0.00083566,             0.87503,             0.65826,             0.71798,             0.35496,            0.047607,            0.010714,           0.0055761,            0.004159,            0.004159,            0.004159
                  61,             0.03007,           0.0081067,          0.00077153,             0.85593,             0.65133,             0.70744,             0.33589,            0.050988,            0.010502,           0.0055659,             0.00406,             0.00406,             0.00406
                  62,            0.029173,           0.0078913,          0.00087164,             0.73746,             0.70091,             0.69869,             0.32334,             0.04826,            0.010393,           0.0058336,            0.003961,            0.003961,            0.003961
                  63,            0.029587,           0.0081577,          0.00082405,             0.79439,             0.71384,             0.71004,             0.33642,            0.046435,            0.010244,            0.005566,            0.003862,            0.003862,            0.003862
                  64,            0.030305,           0.0079455,           0.0010632,             0.80136,             0.72323,             0.71342,             0.32729,              0.0489,            0.010126,           0.0052095,            0.003763,            0.003763,            0.003763
                  65,             0.02843,           0.0072817,          0.00067301,             0.79173,             0.74938,             0.74657,             0.37786,            0.044621,            0.010058,           0.0052349,            0.003664,            0.003664,            0.003664
                  66,            0.027773,           0.0074325,          0.00079611,             0.75756,             0.74281,             0.73359,             0.33857,            0.047608,           0.0099209,           0.0053883,            0.003565,            0.003565,            0.003565
                  67,             0.02866,           0.0075633,          0.00059206,             0.76667,             0.76608,             0.75614,             0.38101,            0.043623,           0.0099581,           0.0050229,            0.003466,            0.003466,            0.003466
                  68,            0.027554,           0.0072943,            0.001357,             0.76283,             0.73359,             0.74034,             0.35397,            0.045443,            0.010073,           0.0045388,            0.003367,            0.003367,            0.003367
                  69,            0.028083,           0.0069211,          0.00068418,             0.79045,             0.71369,             0.73359,             0.34766,            0.047032,            0.010199,           0.0045111,            0.003268,            0.003268,            0.003268
                  70,            0.027084,           0.0074401,           0.0014156,             0.77866,             0.70972,             0.72323,             0.35077,            0.046509,            0.010358,           0.0046753,            0.003169,            0.003169,            0.003169
                  71,            0.028447,           0.0080202,          0.00082782,             0.76831,             0.72587,             0.72588,             0.32667,            0.045774,            0.010362,           0.0053504,             0.00307,             0.00307,             0.00307
                  72,            0.026427,            0.006769,          0.00060508,             0.77283,             0.72588,             0.72287,             0.31583,            0.046317,            0.010291,           0.0057069,            0.002971,            0.002971,            0.002971
                  73,            0.025294,           0.0070684,          0.00061111,             0.75748,             0.72983,              0.7116,             0.34476,            0.044327,            0.010382,           0.0055037,            0.002872,            0.002872,            0.002872
                  74,            0.026108,           0.0070334,          0.00058093,             0.76608,             0.73623,             0.71971,             0.34132,            0.044688,            0.010446,           0.0058886,            0.002773,            0.002773,            0.002773
                  75,            0.026221,            0.007227,          0.00068979,             0.76937,             0.72393,             0.72177,             0.36442,            0.043872,            0.010503,           0.0061845,            0.002674,            0.002674,            0.002674
                  76,            0.025246,           0.0068569,           0.0007221,             0.78062,             0.71758,              0.7219,             0.35337,            0.045927,            0.010504,           0.0064708,            0.002575,            0.002575,            0.002575
                  77,            0.025625,            0.007072,          0.00090067,             0.77807,             0.71161,             0.70463,             0.34562,            0.046585,            0.010396,           0.0063917,            0.002476,            0.002476,            0.002476
                  78,            0.025154,           0.0066617,          0.00081403,             0.81749,             0.72826,             0.72965,              0.3854,            0.043682,            0.010408,           0.0066298,            0.002377,            0.002377,            0.002377
                  79,            0.024344,            0.006594,           0.0010854,             0.78222,             0.69438,             0.69532,             0.33225,            0.049151,            0.010492,           0.0071775,            0.002278,            0.002278,            0.002278
                  80,            0.024507,           0.0071487,          0.00045296,             0.79275,             0.68579,             0.69811,             0.33771,            0.047385,            0.010598,           0.0073889,            0.002179,            0.002179,            0.002179
                  81,            0.023127,           0.0068541,          0.00060615,             0.76994,             0.65495,             0.66738,             0.33449,            0.048635,            0.010678,           0.0074492,             0.00208,             0.00208,             0.00208
                  82,            0.025624,           0.0069729,           0.0018471,             0.82691,             0.67945,             0.70135,             0.36526,            0.045206,             0.01076,            0.006684,            0.001981,            0.001981,            0.001981
                  83,            0.025911,           0.0065663,          0.00061379,             0.81821,             0.67963,             0.70262,             0.34564,            0.047351,            0.010626,           0.0063358,            0.001882,            0.001882,            0.001882
